Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
3190561,20,3071,687,1384,330
3190598,27,1055,374,9332,1375
3190626,22,7067,1390,294,142
3190647,28,451,159,2698,564
3190709,34,11350,2233,800,347
3290035,24,4685,1269,5584,1289
3290133,27,631,237,172,77
3290167,25,1067,258,6533,1110
3290180,28,589,247,268,139
3290202,28,3211,867,180,83
3290220,35,13211,2808,4293,830
3290259,35,4119,1109,197,76
3290288,25,6146,1017,2773,400
3290341,34,9055,1962,224,94
3290398,27,329,88,1355,316
3290747,38,204,118,1184,447
3290750,34,7395,2012,302,104
3310113,23,4951,1439,1981,371
3310187,33,7203,1380,465,183
3310241,27,2175,388,761,362
3310280,33,9530,2338,328,145
3310301,25,281,106,3755,603
3310348,35,218,108,175,82
3310358,31,236,149,850,208
3310368,25,237,71,1823,428
3310408,25,254,163,246,105
3310411,33,267,82,3161,653
3310446,28,225,81,4162,754
3310474,36,267,84,180,72
3310487,27,278,127,1345,518
3310528,25,2557,669,176,68
3310543,29,5501,894,3214,632
3310634,34,5944,1093,13244,2406
3310767,36,281,111,3715,783
3360021,27,503,198,1260,461
3360142,32,657,165,4065,750
3360181,22,2995,487,1536,457
3360241,25,5959,1356,251,81
3360370,33,5896,1282,3792,904
3360386,31,496,235,8726,1369
3360424,38,398,147,1934,489
3360431,31,909,241,9888,1494
3360762,35,1674,473,4592,1156
3370170,24,219,105,1573,356
3370397,31,6300,1536,198,79
3370470,33,2274,596,235,114
3370594,38,190,97,365,136
3370603,32,6927,1220,327,123
3370719,36,1756,406,6668,1330
3390014,37,3137,879,1238,349
3390091,32,225,107,2390,758
3390162,34,248,133,190,72
3390201,29,588,162,6746,1066
3390270,32,9721,2485,340,184
3390286,31,1255,512,5499,1435
3390372,40,1107,338,163,83
3390386,28,4281,901,187,56
3390431,29,331,106,1551,413
3390435,38,1661,394,141,51
3390468,33,8478,2124,1338,504
3390524,28,8803,2034,212,111
3390632,30,5785,805,205,74
3390685,28,431,146,1606,519
3390687,32,10861,2462,4151,760
3390717,25,1867,458,237,127
3390731,40,1685,612,2295,934
3390750,35,3055,869,17025,2558
3400019,23,2612,489,295,101
3400100,25,259,82,160,84
3400164,24,204,99,360,165
3400168,34,249,124,989,336
3400274,35,3466,759,178,85
3400332,32,4982,1142,7876,1152
3400367,35,195,116,758,300
3400433,23,437,180,182,69
3400504,25,202,93,559,177
3400538,29,710,211,254,120
3400563,36,383,182,1462,591
