arrayNames	no.beads	chip	row	col	noiseIntensity	Sample.Plate	Sample.Name	AMP.Plate	Sample.Well	Parent1	Parent2	PedigreeID
X4469076794_A	4469076794_A	523313	4469076794	A	1	1.3167547	SMS_015	046_556_1001	WG0011121-MSA2	C07	104600000	100055600	104655608
X4469076794_B	4469076794_B	462183	4469076794	B	1	1.3983509	SMS_015	046_556_1002	WG0011121-MSA2	D07	104600000	100055600	104655609
X4469076320_F	4469076320_F	525318	4469076320	F	1	1.0820385	SMS_022	077_568_1635	WG0008906-MSA2	D03	108900000	100056200	108956251
X4469076354_E	4469076354_E	540909	4469076354	E	1	0.9872534	SMS_022	077_568_1636	WG0008906-MSA2	E03	108900000	100056200	108956252
X4469076354_F	4469076354_F	554995	4469076354	F	1	1.1319750	SMS_022	077_568_1637	WG0008906-MSA2	F03	108900000	100056200	108956253
X4469076414_E	4469076414_E	548108	4469076414	E	1	1.1298513	SMS_022	077_568_1638	WG0008906-MSA2	G03	108900000	100056200	108956254
X4469076414_F	4469076414_F	525240	4469076414	F	1	1.1103451	SMS_022	077_568_1639	WG0008906-MSA2	H03	108900000	100056200	108956255
X4469076255_G	4469076255_G	546726	4469076255	G	1	1.1782784	SMS_022	077_568_1640	WG0008906-MSA2	A04	108900000	100056200	108956256
X4469076255_H	4469076255_H	540680	4469076255	H	1	1.1606100	SMS_022	077_568_1641	WG0008906-MSA2	B04	108900000	100056200	108956257
X4469076320_G	4469076320_G	516806	4469076320	G	1	1.0284366	SMS_022	077_568_1642	WG0008906-MSA2	C04	108900000	100056200	108956258
X4469076320_H	4469076320_H	491671	4469076320	H	1	1.0738050	SMS_022	077_568_1643	WG0008906-MSA2	D04	108900000	100056200	108956259
X4469076354_G	4469076354_G	555638	4469076354	G	1	1.0138066	SMS_022	077_568_1644	WG0008906-MSA2	E04	108900000	100056200	108956260
X4469076109_B	4469076109_B	554895	4469076109	B	1	0.7922895	SMS_025	089_627_1908	WG0008999-MSA2	H01	108900000	100056300	108956358
X4469076361_C	4469076361_C	531144	4469076361	C	1	0.9361330	SMS_025	089_627_1913	WG0008999-MSA2	E02	108900000	100056300	108956363
X4469076571_J	4469076571_J	500908	4469076571	J	1	1.2152657	SMS_028	104_567_2221	WG0009023-MSA2	D05	110400000	100056700	110456707
X4469076571_K	4469076571_K	495149	4469076571	K	1	1.0327498	SMS_028	104_567_2228	WG0009023-MSA2	C06	110400000	100056700	110456714
X4469076573_I	4469076573_I	531239	4469076573	I	1	1.0986542	SMS_028	104_567_2218	WG0009023-MSA2	A05	110400000	100056700	110456704
X4469076573_J	4469076573_J	524965	4469076573	J	1	1.0940203	SMS_028	104_567_2219	WG0009023-MSA2	B05	110400000	100056700	110456705
X4469076573_K	4469076573_K	500429	4469076573	K	1	1.1857200	SMS_028	104_567_2226	WG0009023-MSA2	A06	110400000	100056700	110456712
X4469076573_L	4469076573_L	484609	4469076573	L	1	0.9760880	SMS_028	104_567_2227	WG0009023-MSA2	B06	110400000	100056700	110456713
X4469076803_G	4469076803_G	544410	4469076803	G	1	1.0763076	SMS_028	104_567_2216	WG0009023-MSA2	G04	110400000	100056700	110456702
X4469076803_H	4469076803_H	533900	4469076803	H	1	1.0845143	SMS_028	104_567_2217	WG0009023-MSA2	H04	110400000	100056700	110456703
X4469076803_I	4469076803_I	519360	4469076803	I	1	1.0639482	SMS_028	104_567_2224	WG0009023-MSA2	G05	110400000	100056700	110456710
X4469076803_J	4469076803_J	470849	4469076803	J	1	1.1231625	SMS_028	104_567_2225	WG0009023-MSA2	H05	110400000	100056700	110456711
X4469076828_H	4469076828_H	531983	4469076828	H	1	1.1182601	SMS_028	104_567_2215	WG0009023-MSA2	F04	110400000	100056700	110456701
X4469076828_I	4469076828_I	544667	4469076828	I	1	1.1332259	SMS_028	104_567_2222	WG0009023-MSA2	E05	110400000	100056700	110456708
X4469076828_J	4469076828_J	527759	4469076828	J	1	1.1575257	SMS_028	104_567_2223	WG0009023-MSA2	F05	110400000	100056700	110456709
X4469076602_G	4469076602_G	548966	4469076602	G	1	0.9304084	SMS_014	040_568_0884	WG0011119-MSA2	E04	104000000	100056800	104056801
X4469076602_H	4469076602_H	525558	4469076602	H	1	0.9662831	SMS_014	040_568_0885	WG0011119-MSA2	F04	104000000	100056800	104056802
X4469076602_I	4469076602_I	549693	4469076602	I	1	1.0748991	SMS_014	040_568_0892	WG0011119-MSA2	E05	104000000	100056800	104056809
X4469076602_J	4469076602_J	528619	4469076602	J	1	1.0152522	SMS_014	040_568_0893	WG0011119-MSA2	F05	104000000	100056800	104056810
X4469076757_I	4469076757_I	524065	4469076757	I	1	1.0409737	SMS_014	040_568_0888	WG0011119-MSA2	A05	104000000	100056800	104056805
X4469076757_J	4469076757_J	522986	4469076757	J	1	1.0892167	SMS_014	040_568_0889	WG0011119-MSA2	B05	104000000	100056800	104056806
X4469076759_I	4469076759_I	546449	4469076759	I	1	1.1163413	SMS_014	040_568_0890	WG0011119-MSA2	C05	104000000	100056800	104056807
X4469076759_J	4469076759_J	528042	4469076759	J	1	1.1008250	SMS_014	040_568_0891	WG0011119-MSA2	D05	104000000	100056800	104056808
X4469076761_G	4469076761_G	547692	4469076761	G	1	0.9034039	SMS_014	040_568_0886	WG0011119-MSA2	G04	104000000	100056800	104056803
X4469076761_H	4469076761_H	466853	4469076761	H	1	0.9918226	SMS_014	040_568_0887	WG0011119-MSA2	H04	104000000	100056800	104056804
X4469076761_I	4469076761_I	531475	4469076761	I	1	1.0665265	SMS_014	040_568_0894	WG0011119-MSA2	G05	104000000	100056800	104056811
X4469076761_J	4469076761_J	484819	4469076761	J	1	1.0774714	SMS_014	040_568_0895	WG0011119-MSA2	H05	104000000	100056800	104056812
X4469076488_C	4469076488_C	475257	4469076488	C	1	1.0563085	SMS_015	044_574_0961	WG0011121-MSA2	C02	104400000	100057400	104457401
X4469076488_D	4469076488_D	453218	4469076488	D	1	0.9910376	SMS_015	044_574_0962	WG0011121-MSA2	D02	104400000	100057400	104457402
X4469076488_E	4469076488_E	483819	4469076488	E	1	0.9472468	SMS_015	044_574_0969	WG0011121-MSA2	C03	104400000	100057400	104457409
X4469076488_F	4469076488_F	460527	4469076488	F	1	0.9368165	SMS_015	044_574_0970	WG0011121-MSA2	D03	104400000	100057400	104457410
X4469076526_C	4469076526_C	542995	4469076526	C	1	0.9355096	SMS_015	044_574_0963	WG0011121-MSA2	E02	104400000	100057400	104457403
X4469076526_D	4469076526_D	517551	4469076526	D	1	0.9619342	SMS_015	044_574_0964	WG0011121-MSA2	F02	104400000	100057400	104457404
X4469076648_C	4469076648_C	528557	4469076648	C	1	0.8999945	SMS_015	044_574_0965	WG0011121-MSA2	G02	104400000	100057400	104457405
X4469076648_D	4469076648_D	479583	4469076648	D	1	0.9272174	SMS_015	044_574_0966	WG0011121-MSA2	H02	104400000	100057400	104457406
X4469076785_E	4469076785_E	458095	4469076785	E	1	1.0425207	SMS_015	044_574_0967	WG0011121-MSA2	A03	104400000	100057400	104457407
X4469076785_F	4469076785_F	445049	4469076785	F	1	0.9966412	SMS_015	044_574_0968	WG0011121-MSA2	B03	104400000	100057400	104457408
X4469076488_I	4469076488_I	508240	4469076488	I	1	1.0345005	SMS_015	046_576_0985	WG0011121-MSA2	C05	104600000	100057600	104657603
X4469076488_J	4469076488_J	467675	4469076488	J	1	0.8924376	SMS_015	046_576_0986	WG0011121-MSA2	D05	104600000	100057600	104657604
X4469076488_K	4469076488_K	502163	4469076488	K	1	0.8506339	SMS_015	046_576_0993	WG0011121-MSA2	C06	104600000	100057600	104657611
X4469076526_I	4469076526_I	568252	4469076526	I	1	1.1215804	SMS_015	046_576_0987	WG0011121-MSA2	E05	104600000	100057600	104657605
X4469076526_J	4469076526_J	537116	4469076526	J	1	0.9574317	SMS_015	046_576_0988	WG0011121-MSA2	F05	104600000	100057600	104657606
X4469076648_I	4469076648_I	512833	4469076648	I	1	1.3154831	SMS_015	046_576_0989	WG0011121-MSA2	G05	104600000	100057600	104657607
X4469076648_J	4469076648_J	465120	4469076648	J	1	1.1774115	SMS_015	046_576_0990	WG0011121-MSA2	H05	104600000	100057600	104657608
X4469076785_I	4469076785_I	496305	4469076785	I	1	1.0997709	SMS_015	046_576_0983	WG0011121-MSA2	A05	104600000	100057600	104657601
X4469076785_J	4469076785_J	510672	4469076785	J	1	0.9383708	SMS_015	046_576_0984	WG0011121-MSA2	B05	104600000	100057600	104657602
X4469076785_K	4469076785_K	477792	4469076785	K	1	0.8346626	SMS_015	046_576_0991	WG0011121-MSA2	A06	104600000	100057600	104657609
X4469076785_L	4469076785_L	481409	4469076785	L	1	0.7253206	SMS_015	046_576_0992	WG0011121-MSA2	B06	104600000	100057600	104657610
X4469076620_J	4469076620_J	533875	4469076620	J	1	1.0336462	SMS_026	097_637_2077	WG0009025-MSA2	B11	112100000	100057600	112157674
X4469076251_A	4469076251_A	542428	4469076251	A	1	0.8464903	SMS_032	121_586_2570	WG0008909-MSA2	E01	112100000	100057600	112157651
X4469076544_A	4469076544_A	508946	4469076544	A	1	0.9227498	SMS_032	121_586_2572	WG0008909-MSA2	G01	112100000	100057600	112157653
X4469076544_B	4469076544_B	498335	4469076544	B	1	1.0753381	SMS_032	121_586_2573	WG0008909-MSA2	H01	112100000	100057600	112157654
X4469076472_C	4469076472_C	539863	4469076472	C	1	1.0022713	SMS_032	121_586_2574	WG0008909-MSA2	A02	112100000	100057600	112157655
X4469076472_D	4469076472_D	525831	4469076472	D	1	0.9840176	SMS_032	121_586_2575	WG0008909-MSA2	B02	112100000	100057600	112157656
X4469076250_C	4469076250_C	516722	4469076250	C	1	0.8955215	SMS_032	121_586_2576	WG0008909-MSA2	C02	112100000	100057600	112157657
X4469076250_D	4469076250_D	471967	4469076250	D	1	0.8988599	SMS_032	121_586_2577	WG0008909-MSA2	D02	112100000	100057600	112157658
X4469076251_C	4469076251_C	526993	4469076251	C	1	0.8916078	SMS_032	121_586_2578	WG0008909-MSA2	E02	112100000	100057600	112157659
X4469076251_D	4469076251_D	516583	4469076251	D	1	0.8413827	SMS_032	121_586_2579	WG0008909-MSA2	F02	112100000	100057600	112157660
X4469076544_C	4469076544_C	520264	4469076544	C	1	0.9689888	SMS_032	121_586_2580	WG0008909-MSA2	G02	112100000	100057600	112157661
X4469076250_A	4469076250_A	516207	4469076250	A	1	0.9086691	SMS_032	121_576_2568	WG0008909-MSA2	C01	112100000	100057600	112157601
X4469076250_B	4469076250_B	507739	4469076250	B	1	1.0275863	SMS_032	121_576_2569	WG0008909-MSA2	D01	112100000	100057600	112157602
X4469076086_D	4469076086_D	474117	4469076086	D	1	1.3744677	SMS_018	061_601_1299	WG0011124-MSA2	H08	104900000	100058000	104958052
X4469076459_E	4469076459_E	553319	4469076459	E	1	1.1026627	SMS_029	107_646_2297	<I0009001[MOA2	A03	104900000	100058000	104958061
X4469076393_A	4469076393_A	548857	4469076393	A	1	1.0321821	SMS_016	049_580_1046	WG0011122-MSA2	A01	104900000	100058000	104958010
X4469076400_L	4469076400_L	544894	4469076400	L	1	1.2075498	SMS_015	049_580_1039	WG0011121-MSA2	B12	104900000	100058000	104958003
X4469076527_I	4469076527_I	545322	4469076527	I	1	1.1868698	SMS_015	049_580_1037	WG0011121-MSA2	G11	104900000	100058000	104958001
X4469076527_J	4469076527_J	502514	4469076527	J	1	0.8965167	SMS_015	049_580_1038	WG0011121-MSA2	H11	104900000	100058000	104958002
X4469076527_K	4469076527_K	534793	4469076527	K	1	0.9389519	SMS_015	049_580_1044	WG0011121-MSA2	G12	104900000	100058000	104958008
X4469076528_L	4469076528_L	522192	4469076528	L	1	0.9073786	SMS_015	049_580_1043	WG0011121-MSA2	F12	104900000	100058000	104958007
X4469076794_K	4469076794_K	469596	4469076794	K	1	0.9387526	SMS_015	049_580_1040	WG0011121-MSA2	C12	104900000	100058000	104958004
X4469076794_L	4469076794_L	425738	4469076794	L	1	0.9334320	SMS_015	049_580_1041	WG0011121-MSA2	D12	104900000	100058000	104958005
X4469076391_A	4469076391_A	560300	4469076391	A	1	2.1247126	SMS_016	049_581_1052	WG0011122-MSA2	G01	104900000	100058100	104958105
X4469076391_B	4469076391_B	543956	4469076391	B	1	2.0737649	SMS_016	049_581_1053	WG0011122-MSA2	H01	104900000	100058100	104958106
X4469076393_B	4469076393_B	505537	4469076393	B	1	1.0654702	SMS_016	049_581_1047	WG0011122-MSA2	B01	104900000	100058100	104958101
X4469076396_A	4469076396_A	548608	4469076396	A	1	1.0333207	SMS_016	049_581_1050	WG0011122-MSA2	E01	104900000	100058100	104958103
X4469076396_B	4469076396_B	527371	4469076396	B	1	0.8894156	SMS_016	049_581_1051	WG0011122-MSA2	F01	104900000	100058100	104958104
X4469076447_A	4469076447_A	545435	4469076447	A	1	1.5736672	SMS_016	049_581_1048	WG0011122-MSA2	C01	104900000	100058100	104958102
X4469076434_D	4469076434_D	513871	4469076434	D	1	1.0367820	SMS_030	114_654_2435	WG0008876-MSA2	D08	113800000	100058200	113858258
X4469076160_H	4469076160_H	540872	4469076160	H	1	0.9247662	SMS_035	138_582_2930	WG0011255-MSA2	H10	113800000	100058200	113858204
X4469076229_I	4469076229_I	492568	4469076229	I	1	0.8382989	SMS_035	138_582_2931	WG0011255-MSA2	A11	113800000	100058200	113858205
X4469076229_J	4469076229_J	500155	4469076229	J	1	0.8110540	SMS_035	138_582_2932	WG0011255-MSA2	B11	113800000	100058200	113858206
X4469076230_G	4469076230_G	535672	4469076230	G	1	0.9432659	SMS_035	138_582_2927	WG0011255-MSA2	E10	113800000	100058200	113858201
X4469076230_H	4469076230_H	535009	4469076230	H	1	0.9629953	SMS_035	138_582_2928	WG0011255-MSA2	F10	113800000	100058200	113858202
X4469076230_I	4469076230_I	522771	4469076230	I	1	0.8322599	SMS_035	138_582_2935	WG0011255-MSA2	E11	113800000	100058200	113858209
X4469076230_J	4469076230_J	526457	4469076230	J	1	0.8169904	SMS_035	138_582_2936	WG0011255-MSA2	F11	113800000	100058200	113858210
X4469076438_I	4469076438_I	554175	4469076438	I	1	1.0069705	SMS_035	138_582_2933	WG0011255-MSA2	C11	113800000	100058200	113858207
X4469076438_J	4469076438_J	510290	4469076438	J	1	0.9751198	SMS_035	138_582_2934	WG0011255-MSA2	D11	113800000	100058200	113858208
X4469076516_E	4469076516_E	533695	4469076516	E	1	1.3866461	SMS_017	055_589_1159	WG0011123-MSA2	C03	105500000	100058900	105558907
X4469076516_F	4469076516_F	539822	4469076516	F	1	1.4220189	SMS_017	055_589_1160	WG0011123-MSA2	D03	105500000	100058900	105558908
X4469076520_C	4469076520_C	424532	4469076520	C	1	1.2155119	SMS_017	055_589_1155	WG0011123-MSA2	G02	105500000	100058900	105558903
X4469076520_D	4469076520_D	482671	4469076520	D	1	1.1077605	SMS_017	055_589_1156	WG0011123-MSA2	H02	105500000	100058900	105558904
X4469076522_E	4469076522_E	561063	4469076522	E	1	1.1055776	SMS_017	055_589_1157	WG0011123-MSA2	A03	105500000	100058900	105558905
X4469076522_F	4469076522_F	561601	4469076522	F	1	1.1807731	SMS_017	055_589_1158	WG0011123-MSA2	B03	105500000	100058900	105558906
X4469076549_C	4469076549_C	550085	4469076549	C	1	1.2771566	SMS_017	055_589_1153	WG0011123-MSA2	E02	105500000	100058900	105558901
X4469076549_D	4469076549_D	503395	4469076549	D	1	1.2725461	SMS_017	055_589_1154	WG0011123-MSA2	F02	105500000	100058900	105558902
X4469076549_E	4469076549_E	563288	4469076549	E	1	1.2790387	SMS_017	055_589_1161	WG0011123-MSA2	E03	105500000	100058900	105558909
X4469076549_F	4469076549_F	543352	4469076549	F	1	1.0819645	SMS_017	055_589_1162	WG0011123-MSA2	F03	105500000	100058900	105558910
X4469076516_G	4469076516_G	555456	4469076516	G	1	1.4321233	SMS_017	055_590_1167	WG0011123-MSA2	C04	105500000	100059000	105559005
X4469076516_H	4469076516_H	550394	4469076516	H	1	1.4021534	SMS_017	055_590_1168	WG0011123-MSA2	D04	105500000	100059000	105559006
X4469076520_E	4469076520_E	523470	4469076520	E	1	1.1417342	SMS_017	055_590_1163	WG0011123-MSA2	G03	105500000	100059000	105559001
X4469076520_F	4469076520_F	500005	4469076520	F	1	1.2272299	SMS_017	055_590_1164	WG0011123-MSA2	H03	105500000	100059000	105559002
X4469076520_G	4469076520_G	527564	4469076520	G	1	1.1946985	SMS_017	055_590_1171	WG0011123-MSA2	G04	105500000	100059000	105559009
X4469076522_G	4469076522_G	526985	4469076522	G	1	1.9452727	SMS_017	055_590_1165	WG0011123-MSA2	A04	105500000	100059000	105559003
X4469076522_H	4469076522_H	568816	4469076522	H	1	1.1352825	SMS_017	055_590_1166	WG0011123-MSA2	B04	105500000	100059000	105559004
X4469076549_G	4469076549_G	546887	4469076549	G	1	1.3196532	SMS_017	055_590_1169	WG0011123-MSA2	E04	105500000	100059000	105559007
X4469076549_H	4469076549_H	540321	4469076549	H	1	1.3166115	SMS_017	055_590_1170	WG0011123-MSA2	F04	105500000	100059000	105559008
X4469076085_A	4469076085_A	559656	4469076085	A	1	0.7998899	SMS_018	060_599_1286	WG0011124-MSA2	C07	106000000	100059900	106059911
X4469076087_K	4469076087_K	506870	4469076087	K	1	1.0834499	SMS_018	060_599_1276	WG0011124-MSA2	A06	106000000	100059900	106059901
X4469076087_L	4469076087_L	410921	4469076087	L	1	1.1791307	SMS_018	060_599_1277	WG0011124-MSA2	B06	106000000	100059900	106059902
X4469076103_K	4469076103_K	535389	4469076103	K	1	1.3524171	SMS_018	060_599_1282	WG0011124-MSA2	G06	106000000	100059900	106059907
X4469076103_L	4469076103_L	518076	4469076103	L	1	1.2804917	SMS_018	060_599_1283	WG0011124-MSA2	H06	106000000	100059900	106059908
X4469076134_K	4469076134_K	523742	4469076134	K	1	1.1023105	SMS_018	060_599_1278	WG0011124-MSA2	C06	106000000	100059900	106059903
X4469076134_L	4469076134_L	535898	4469076134	L	1	1.1654183	SMS_018	060_599_1279	WG0011124-MSA2	D06	106000000	100059900	106059904
X4469076135_K	4469076135_K	535660	4469076135	K	1	1.0002390	SMS_018	060_599_1280	WG0011124-MSA2	E06	106000000	100059900	106059905
X4469076135_L	4469076135_L	529588	4469076135	L	1	1.0595605	SMS_018	060_599_1281	WG0011124-MSA2	F06	106000000	100059900	106059906
X4469076281_A	4469076281_A	531739	4469076281	A	1	0.9799894	SMS_018	060_599_1284	WG0011124-MSA2	A07	106000000	100059900	106059909
X4469076281_B	4469076281_B	548515	4469076281	B	1	0.9642409	SMS_018	060_599_1285	WG0011124-MSA2	B07	106000000	100059900	106059910
X4469076185_E	4469076185_E	537347	4469076185	E	1	1.0355626	SMS_012	032_554_0686	WG0009046-MSA2	E03	108300000	100060000	108360052
X4469076143_L	4469076143_L	512453	4469076143	L	1	0.8221107	SMS_023	083_600_1758	WG0004746-MSA2	H06	108300000	100060000	108360001
X4469076487_A	4469076487_A	516394	4469076487	A	1	1.0462036	SMS_023	083_600_1759	WG0004746-MSA2	A07	108300000	100060000	108360002
X4469076487_B	4469076487_B	497746	4469076487	B	1	0.8959706	SMS_023	083_600_1760	WG0004746-MSA2	B07	108300000	100060000	108360003
X4469076487_C	4469076487_C	521160	4469076487	C	1	0.9037653	SMS_023	083_600_1767	WG0004746-MSA2	A08	108300000	100060000	108360010
X4469076487_D	4469076487_D	528944	4469076487	D	1	0.9710775	SMS_023	083_600_1768	WG0004746-MSA2	B08	108300000	100060000	108360011
X4469076586_B	4469076586_B	483851	4469076586	B	1	0.9087871	SMS_023	083_600_1762	WG0004746-MSA2	D07	108300000	100060000	108360005
X4469076586_C	4469076586_C	548313	4469076586	C	1	0.8588043	SMS_023	083_600_1769	WG0004746-MSA2	C08	108300000	100060000	108360012
X4469076586_D	4469076586_D	544419	4469076586	D	1	0.8689133	SMS_023	083_600_1770	WG0004746-MSA2	D08	108300000	100060000	108360013
X4469076669_A	4469076669_A	562694	4469076669	A	1	0.7923999	SMS_023	083_600_1765	WG0004746-MSA2	G07	108300000	100060000	108360008
X4469076669_B	4469076669_B	561154	4469076669	B	1	0.8677472	SMS_023	083_600_1766	WG0004746-MSA2	H07	108300000	100060000	108360009
X4469076771_A	4469076771_A	462908	4469076771	A	1	0.7014635	SMS_023	083_600_1763	WG0004746-MSA2	E07	108300000	100060000	108360006
X4469076771_B	4469076771_B	376097	4469076771	B	1	0.7272818	SMS_023	083_600_1764	WG0004746-MSA2	F07	108300000	100060000	108360007
X4469076771_C	4469076771_C	505826	4469076771	C	1	0.7677903	SMS_023	083_600_1771	WG0004746-MSA2	E08	108300000	100060000	108360014
X4469076803_K	4469076803_K	476771	4469076803	K	1	1.0173686	SMS_028	105_634_2232	WG0009023-MSA2	G06	106200000	100060200	106260253
X4469076085_K	4469076085_K	553050	4469076085	K	1	1.6841981	SMS_018	062_602_1325	WG0011124-MSA2	C12	106200000	100060200	106260206
X4469076085_L	4469076085_L	392619	4469076085	L	1	1.5801830	SMS_018	062_602_1326	WG0011124-MSA2	D12	106200000	100060200	106260207
X4469076086_I	4469076086_I	546113	4469076086	I	1	1.3440349	SMS_018	062_602_1322	WG0011124-MSA2	G11	106200000	100060200	106260203
X4469076086_J	4469076086_J	460935	4469076086	J	1	1.4014993	SMS_018	062_602_1323	WG0011124-MSA2	H11	106200000	100060200	106260204
X4469076281_L	4469076281_L	494937	4469076281	L	1	1.0866958	SMS_018	062_602_1324	WG0011124-MSA2	B12	106200000	100060200	106260205
X4469076282_I	4469076282_I	553167	4469076282	I	1	0.9486832	SMS_018	062_602_1320	WG0011124-MSA2	E11	106200000	100060200	106260201
X4469076282_J	4469076282_J	553206	4469076282	J	1	1.0279995	SMS_018	062_602_1321	WG0011124-MSA2	F11	106200000	100060200	106260202
X4469076282_K	4469076282_K	544081	4469076282	K	1	1.0088802	SMS_018	062_602_1327	WG0011124-MSA2	E12	106200000	100060200	106260208
X4469076282_L	4469076282_L	513620	4469076282	L	1	0.9726083	SMS_018	062_602_1328	WG0011124-MSA2	F12	106200000	100060200	106260209
X4469076648_A	4469076648_A	544382	4469076648	A	1	0.9685057	SMS_015	043_573_0957	WG0011121-MSA2	G01	113800000	100060300	113860359
X4469076160_F	4469076160_F	570080	4469076160	F	1	0.9045581	SMS_035	138_603_2922	WG0011255-MSA2	H09	113800000	100060300	113860307
X4469076229_F	4469076229_F	502120	4469076229	F	1	0.8970785	SMS_035	138_603_2916	WG0011255-MSA2	B09	113800000	100060300	113860301
X4469076229_G	4469076229_G	515020	4469076229	G	1	0.8020753	SMS_035	138_603_2923	WG0011255-MSA2	A10	113800000	100060300	113860308
X4469076229_H	4469076229_H	496978	4469076229	H	1	0.7652564	SMS_035	138_603_2924	WG0011255-MSA2	B10	113800000	100060300	113860309
X4469076230_E	4469076230_E	548198	4469076230	E	1	0.8368150	SMS_035	138_603_2919	WG0011255-MSA2	E09	113800000	100060300	113860304
X4469076230_F	4469076230_F	553285	4469076230	F	1	0.8999127	SMS_035	138_603_2920	WG0011255-MSA2	F09	113800000	100060300	113860305
X4469076438_E	4469076438_E	539107	4469076438	E	1	0.9546973	SMS_035	138_603_2917	WG0011255-MSA2	C09	113800000	100060300	113860302
X4469076438_F	4469076438_F	485664	4469076438	F	1	0.9259551	SMS_035	138_603_2918	WG0011255-MSA2	D09	113800000	100060300	113860303
X4469076438_G	4469076438_G	536008	4469076438	G	1	0.9927825	SMS_035	138_603_2925	WG0011255-MSA2	C10	113800000	100060300	113860310
X4469076438_H	4469076438_H	520583	4469076438	H	1	0.9984319	SMS_035	138_603_2926	WG0011255-MSA2	D10	113800000	100060300	113860311
X4469076623_E	4469076623_E	544132	4469076623	E	1	0.8989642	SMS_019	066_605_1399	WG0008914-MSA2	E09	106600000	100060500	106660502
X4469076623_F	4469076623_F	550325	4469076623	F	1	1.0225795	SMS_019	066_605_1400	WG0008914-MSA2	F09	106600000	100060500	106660503
X4469076623_G	4469076623_G	545300	4469076623	G	1	0.9945791	SMS_019	066_605_1407	WG0008914-MSA2	E10	106600000	100060500	106660510
X4469076623_H	4469076623_H	391485	4469076623	H	1	1.0984564	SMS_019	066_605_1408	WG0008914-MSA2	F10	106600000	100060500	106660511
X4469076624_G	4469076624_G	554640	4469076624	G	1	1.1748026	SMS_019	066_605_1403	WG0008914-MSA2	A10	106600000	100060500	106660506
X4469076624_H	4469076624_H	526293	4469076624	H	1	1.0800349	SMS_019	066_605_1404	WG0008914-MSA2	B10	106600000	100060500	106660507
X4469076625_F	4469076625_F	520839	4469076625	F	1	1.0131907	SMS_019	066_605_1398	WG0008914-MSA2	D09	106600000	100060500	106660501
X4469076625_G	4469076625_G	555975	4469076625	G	1	1.0004905	SMS_019	066_605_1405	WG0008914-MSA2	C10	106600000	100060500	106660508
X4469076625_H	4469076625_H	530541	4469076625	H	1	1.0233223	SMS_019	066_605_1406	WG0008914-MSA2	D10	106600000	100060500	106660509
X4469076665_E	4469076665_E	562747	4469076665	E	1	1.1094489	SMS_019	066_605_1401	WG0008914-MSA2	G09	106600000	100060500	106660504
X4469076665_F	4469076665_F	520525	4469076665	F	1	1.0648542	SMS_019	066_605_1402	WG0008914-MSA2	H09	106600000	100060500	106660505
X4469076665_G	4469076665_G	554616	4469076665	G	1	0.9599069	SMS_019	066_605_1409	WG0008914-MSA2	G10	106600000	100060500	106660512
X4469076515_A	4469076515_A	562946	4469076515	A	1	0.7902562	SMS_021	072_611_1523	WG0011126-MSA2	C01	107200000	100061100	107261111
X4469076515_B	4469076515_B	526007	4469076515	B	1	0.8260520	SMS_021	072_611_1524	WG0011126-MSA2	D01	107200000	100061100	107261112
X4469076567_A	4469076567_A	538397	4469076567	A	1	0.9582360	SMS_021	072_611_1521	WG0011126-MSA2	A01	107200000	100061100	107261109
X4469076567_B	4469076567_B	506734	4469076567	B	1	1.0041409	SMS_021	072_611_1522	WG0011126-MSA2	B01	107200000	100061100	107261110
X4469076590_K	4469076590_K	553400	4469076590	K	1	0.9687094	SMS_020	072_611_1517	WG0008884-MSA2	E12	107200000	100061100	107261105
X4469076590_L	4469076590_L	561070	4469076590	L	1	0.8798478	SMS_020	072_611_1518	WG0008884-MSA2	F12	107200000	100061100	107261106
X4469076808_J	4469076808_J	538430	4469076808	J	1	0.7904292	SMS_020	072_611_1513	WG0008884-MSA2	H11	107200000	100061100	107261101
X4469076808_K	4469076808_K	529747	4469076808	K	1	0.8625756	SMS_020	072_611_1519	WG0008884-MSA2	G12	107200000	100061100	107261107
X4469076808_L	4469076808_L	497044	4469076808	L	1	0.8680916	SMS_020	072_611_1520	WG0008884-MSA2	H12	107200000	100061100	107261108
X4469076809_L	4469076809_L	525407	4469076809	L	1	0.8987311	SMS_020	072_611_1514	WG0008884-MSA2	B12	107200000	100061100	107261102
X4469076810_K	4469076810_K	556365	4469076810	K	1	1.0037824	SMS_020	072_611_1515	WG0008884-MSA2	C12	107200000	100061100	107261103
X4469076810_L	4469076810_L	545390	4469076810	L	1	0.9678583	SMS_020	072_611_1516	WG0008884-MSA2	D12	107200000	100061100	107261104
X4469076577_D	4469076577_D	426366	4469076577	D	1	1.1301454	SMS_031	119_611_2532	WG0008967-MSA2	F08	111900000	100061100	111961101
X4469076577_E	4469076577_E	442929	4469076577	E	1	1.1623365	SMS_031	119_611_2539	WG0008967-MSA2	E09	111900000	100061100	111961108
X4469076577_F	4469076577_F	442274	4469076577	F	1	1.1865751	SMS_031	119_611_2540	WG0008967-MSA2	F09	111900000	100061100	111961109
X4469076718_C	4469076718_C	558607	4469076718	C	1	0.8152896	SMS_031	119_611_2533	WG0008967-MSA2	G08	111900000	100061100	111961102
X4469076718_D	4469076718_D	558294	4469076718	D	1	0.8507467	SMS_031	119_611_2534	WG0008967-MSA2	H08	111900000	100061100	111961103
